,Date,Link,Title,Subtitle,Authors
1,"Thursday, 8 December, 2022",https://www.ft.com/content/706144ea-d626-4a47-95c3-48dc6e9bbc2c,Crypto creditors anonymous? updated,Where nobody knows your name,['Alexandra Scaggs']
2,"Thursday, 8 December, 2022",https://www.ft.com/content/9d5b9126-e1ec-4e35-ace9-c25c1a39b3e3,Long-dated US bonds offer investors hope,Central banks are now sitting on large unrealised losses,['John Redwood']
3,"Thursday, 8 December, 2022",https://www.ft.com/content/343c335d-21d5-4f8b-9e57-7bfe5a868773,Fuel could soon become a deflationary force,A stunning reversal on the energy landscape,"['Justin Jacobs', 'Amanda Chu', 'Derek Brower', 'Myles McCormick']"
4,"Thursday, 8 December, 2022",https://www.ft.com/content/39f8350b-47b6-4e5f-a0ae-d29d8a19b1fd,FirstFT: Bond market points to Fed standing firm against inflation,We also look at the political chaos in Peru and why US fund managers are snapping up European oil stocks,"['Gary Jones', 'Emily Goldberg', 'Gordon Smith']"
5,"Thursday, 8 December, 2022",https://www.ft.com/content/198febe1-08ec-4a63-8b8d-11793464ebfd,Trafigura’s shareholders and top traders to split $1.7bn in payouts,Commodities group reaps record net profit on the back of energy crisis despite distancing its business from Russia,"['David Sheppard', 'Leslie Hook']"
7,"Thursday, 8 December, 2022",https://www.ft.com/content/ffc51ab8-5503-4d25-864c-b82bbe2eb1a8,Global regulator calls for ‘urgent action’ on clearing houses and insurers,Financial Stability Board says plans should be drawn up to deal with failures of non-bank financial groups,"['Laura Noonan', 'Philip Stafford', 'Ian Smith']"
8,"Thursday, 8 December, 2022",https://www.ft.com/content/087f551a-793b-4b20-8f8d-5b49a3b2e5d2,BT pension scheme warns it may need ‘support’ from company,"More cautious approach to liability-driven investing after Truss mini-Budget means returns may fall, MPs told","['Josephine Cumbo', 'Anna Gross']"
9,"Thursday, 8 December, 2022",https://www.ft.com/content/95854259-a3dd-4c65-bd31-bf9d9802c4a1,Bond market points to Fed standing firm in battle against inflation,US yield curve is at its most inverted since 1981 in sign investors see recession on horizon,['Kate Duguid']
10,"Thursday, 8 December, 2022",https://www.ft.com/content/d146bc7d-b3b4-4074-8235-b228ae194d85,Is there no shame anymore?,Sam Bankman-Fried’s mere ‘embarrassment’ at the collapse of FTX is a symptom of our inability to find shared moral values,['Jemima Kelly']
12,"Thursday, 8 December, 2022",https://www.ft.com/content/7b783262-2f4f-4260-9ca9-37ea0a12a776,Heavy selling of European equity ETFs reverses 2021 inflows,"Net outflows since March rose to $27bn by the end of November, equal to the $27.2bn garnered last year",['Steve Johnson']
13,"Thursday, 8 December, 2022",https://www.ft.com/content/5801e858-c25d-4cda-ba24-f2fdd883a3df,US fund managers cross Atlantic to buy European oil stocks,Shares of BP and Shell trade at sharp discounts to American peers after energy commodity rally,"['Nicholas Megaw', 'Derek Brower']"
15,"Thursday, 8 December, 2022",https://www.ft.com/content/bb1a5605-48a7-47b5-be67-4d9f403b60fa,Audit reform should not dance to the Big Four’s tune,Accountants’ arguments about risks of auditor rotation look wide of the mark,['Michael O’Dwyer']
16,"Wednesday, 7 December, 2022",https://www.ft.com/content/e0bb1bac-c74b-4cf2-9242-d5a4784c51d6,"Live news updates from December 8: FTC sues over Microsoft-Activision deal, Griner released from prison",Accountants’ arguments about risks of auditor rotation look wide of the mark,"['Jaren Kerr', 'Alexandra White', 'Peter Wells', 'Akila Quinio', 'Oliver Ralph', 'Mark Wembridge', 'William Langley']"
