Date,AAPL,MSFT,AMZN,BRK.B,GOOGL,UNH,JNJ,XOM,JPM,NVDA,PG,TSLA,V,HD,CVX,MA,PFE,ABBV,LLY,MRK,META,PEP,KO,BAC,AVGO,TMO,COST,WMT,MCD,CSCO,ACN,NEE,VZ,DIS,ADBE,BMY,PM,WFC,CMCSA,NKE,RTX,HON,AMGN,NFLX
12/01/2022,145.96,249.82,94.47,313.49,99.05,532.83,177.5,109.51,134.49,166.59,148.47,191.78,215.73,321.08,181.53,357.45,50.56,161,366.08,109,119.41,184,63.61,36.06,537.05,553.54,498.52,151.48,269.81,49.23,299.05,83.73,37.93,97.46,337.2,80.37,101.51,46.38,35.61,108.65,98.68,214.83,284.06,310.49
11/01/2022,155.25,235,104.11,298.47,95.45,555,172.89,111.58,127.65,138.33,134.76,234.48,205.76,295.2,180.93,331.42,47.77,146.66,354.16,99.65,94.33,181.01,60.08,36.07,475.82,516,504.51,141.16,273,45.69,279.77,78.07,37.25,105.45,321.87,77.66,91.6,46.88,32.16,95.41,95.15,204.4,268.89,295.92
10/01/2022,138.21,235.41,113.58,269.37,96.76,508.13,164.29,89.96,105.7,123.47,127.25,254.5,179.45,281.26,148.98,287.47,44.07,135.88,326.03,86.79,137.14,163.52,56.36,30.65,449.24,513.76,474.5,130.28,233.47,40.67,260.01,79.85,38.5,95.84,278.27,71.36,84.33,41.22,29.84,83.16,82.76,170.07,228.27,237.85
09/01/2022,156.64,258.87,126,279.78,108.28,519.05,161.99,94.44,113.21,142.09,137.83,272.58,198.55,288.25,156.13,323.64,45.19,134.64,301.14,85.63,163.58,170.92,61.58,33.31,491.47,543.04,519.72,132.62,251.93,44.57,288.24,85.32,41.69,111.56,371,67.56,95.45,43.67,36.15,105.82,89.34,189.15,241.12,220.72
08/01/2022,161.01,277.82,134.96,299.29,115.3,540,174.15,94.77,114.54,181.82,138.27,301.27,209.06,300.17,161.54,348.15,50.25,141.51,327.5,89.31,157.25,174.55,64.09,33.58,531.43,593.73,541.42,131.42,262.9,45.06,302.25,84.39,46.28,104.92,406.51,73.76,97.45,43.39,37.03,114.2,93.59,191.41,247.34,223.1
07/01/2022,136.04,256.39,106.29,272.01,107.93,512.32,177.45,86.82,112.31,148.99,144.2,227,196.46,275.73,146.49,314.25,52.03,153.08,323.89,91.23,160.31,166.74,63.12,31.01,479.41,543.95,481.18,121.65,246.35,42.52,277.65,78.13,50.96,94.26,364.17,76.98,98.65,38.71,39.37,101.81,96.16,173.65,243.25,176.49
06/01/2022,149.9,275.2,122.26,316,114.86,498.32,179.15,97.02,132.87,187.24,148,251.72,212.05,301.74,176.73,358.2,53.25,147.79,313.44,91.67,196.51,168.18,63.42,37.46,587.58,569.55,469.38,128.5,253.19,45.55,304.13,75.76,51.44,112.01,428,75.34,106.48,45.96,44.55,119.83,96.01,194.5,257.88,198.7
05/01/2022,156.71,277.71,122.4,324.11,113.4,510.81,180.47,85.01,119.88,185.4,161.6,286.92,211.77,301.99,156.31,363,47.68,146.65,291.23,88.72,201.16,172.99,65.28,36.03,557.14,548.93,532.23,154.96,250.86,49.34,300.46,71.1,46.51,111.71,397.13,75.37,101.39,43.87,40.06,124.43,94.51,194.49,233.37,191.71
04/01/2022,174.03,309.37,164.15,353.65,139.5,510.68,177.05,81.99,137.4,273.75,153.52,360.38,223.08,300.5,162.78,359.22,52.12,162.15,286.15,82.19,224.55,167.89,62.33,41.69,631.69,592.22,577.38,149.66,248.12,56.17,338.59,84.49,51.02,137.34,455,73.19,94.96,49.25,47.15,134.45,99.76,195.9,243.03,376.8
03/01/2022,164.69,296.4,152.73,319.55,134.88,470.89,163.04,78.77,139.91,242.91,154.31,289.89,214.48,314.59,145.01,357.85,46.69,147.67,248.97,76.5,209.87,163.07,62.14,43.71,584.79,544.62,519.46,136,242.3,55.53,316.41,78.07,53.5,147.86,468,68.12,101.07,52.44,46.14,136.72,102.77,186.65,225.28,391.6
